Time(s),Linear(mm)
3.55,0.00123
3.56,0.00122
3.57,0.00143
3.58,0.00107
3.59,0.00133
3.6,0.00156
3.61,0.001
3.62,0.00136
3.63,0.00153
3.64,0.0011
3.65,0.00141
3.66,0.00105
3.67,0.0012
3.68,0.00158
3.69,0.00097
3.7,0.00114
3.71,0.00154
3.72,0.00113
3.73,0.00128
3.74,0.00143
3.75,0.00116
3.76,0.00162
3.77,0.00108
3.78,0.00116
3.79,0.00168
3.8,0.00106
3.81,0.00094
3.82,0.00132
3.83,0.00122
3.84,0.00146
3.85,0.00127
3.86,0.00087
3.87,0.00167
3.88,0.00141
3.89,0.0011
3.9,0.00155
3.91,0.00117
3.92,0.00125
3.93,0.00132
3.94,0.00098
3.95,0.00145
3.96,0.00141
3.97,0.00092
3.98,0.00141
3.99,0.00134
4,0.0012
4.01,0.00162
4.02,0.00105
4.03,0.00135
4.04,0.00149
4.05,0.00102
4.06,0.00136
4.07,0.00141
4.08,0.00099
4.09,0.00133
4.1,0.00131
4.11,0.00127
4.12,0.00166
4.13,0.00097
4.14,0.00124
4.15,0.00171
4.16,0.00118
4.17,0.00119
4.18,0.00117
4.19,0.00119
4.2,0.00161
4.21,0.00128
4.22,0.00096
4.23,0.00159
4.24,0.00115
4.25,0.00131
4.26,0.00149
4.27,0.00107
4.28,0.0014
4.29,0.00134
4.3,0.00101
4.31,0.00155
4.32,0.00135
4.33,0.00111
4.34,0.00152
4.35,0.0012
4.36,0.00134
4.37,0.00151
4.38,0.0009
4.39,0.00141
4.4,0.00144
4.41,0.0011
4.42,0.00141
4.43,0.00118
4.44,0.00117
4.45,0.00156
4.46,0.00114
4.47,0.00133
4.48,0.00164
4.49,0.00103
4.5,0.00129
4.51,0.00136
4.52,0.00112
4.53,0.0015
4.54,0.00123
4.55,0.00109
4.56,0.00154
4.57,0.00111
4.58,0.00125
4.59,0.00166
4.6,0.00121
4.61,0.00125
4.62,0.00125
4.63,0.00104
4.64,0.00169
4.65,0.00135
4.66,0.0009
4.67,0.00146
4.68,0.00128
4.69,0.00146
4.7,0.00145
4.71,0.00091
4.72,0.00142
4.73,0.00154
4.74,0.00106
4.75,0.00148
4.76,0.00121
4.77,0.00106
4.78,0.00153
4.79,0.00112
4.8,0.00138
4.81,0.0015
4.82,0.00092
4.83,0.00137
4.84,0.00159
4.85,0.0012
4.86,0.00138
4.87,0.00118
4.88,0.00107
4.89,0.00159
4.9,0.00111
4.91,0.00124
4.92,0.0015
4.93,0.00107
4.94,0.00138
4.95,0.00146
4.96,0.00115
4.97,0.00152
4.98,0.00119
4.99,0.0011
5,0.00165
5.01,0.00117
5.02,0.00108
5.03,0.00145
5.04,0.00103
5.05,0.00153
5.06,0.00141
5.07,0.00109
5.08,0.00149
5.09,0.0013
5.1,0.00106
5.11,0.00162
5.12,0.00125
5.13,0.0012
5.14,0.00134
5.15,0.00093
5.16,0.00148
5.17,0.00143
5.18,0.00104
5.19,0.00143
5.2,0.00151
5.21,0.00122
5.22,0.00143
5.23,0.00109
5.24,0.0013
5.25,0.0016
5.26,0.00088
5.27,0.00129
5.28,0.0015
5.29,0.00114
5.3,0.00127
5.31,0.00123
5.32,0.00133
5.33,0.00182
5.34,0.00115
5.35,0.00101
5.36,0.00165
5.37,0.00112
5.38,0.00133
5.39,0.00125
5.4,0.00109
5.41,0.00155
5.42,0.00128
5.43,0.00101
5.44,0.00163
5.45,0.00125
5.46,0.00119
5.47,0.00158
5.48,0.00127
5.49,0.00141
5.5,0.00117
5.51,0.00094
5.52,0.0018
5.53,0.00146
5.54,0.00092
5.55,0.00128
5.56,0.00134
5.57,0.0014
5.58,0.00154
5.59,0.00093
5.6,0.00149
5.61,0.00169
5.62,0.00094
5.63,0.00126
5.64,0.00131
5.65,0.00131
5.66,0.00157
5.67,0.00103
5.68,0.00114
5.69,0.00166
5.7,0.00104
5.71,0.00131
5.72,0.00155
5.73,0.00118
5.74,0.00149
5.75,0.00126
5.76,0.00122
5.77,0.00169
5.78,0.00107
5.79,0.00107
5.8,0.00169
5.81,0.00127
5.82,0.0013
5.83,0.00133
5.84,0.00113
5.85,0.00164
5.86,0.00139
5.87,0.00109
5.88,0.00157
5.89,0.00121
5.9,0.00117
5.91,0.00155
5.92,0.00124
5.93,0.00145
5.94,0.00143
5.95,0.00092
5.96,0.00154
5.97,0.0016
5.98,0.00128
5.99,0.00144
6,0.00113
6.01,0.00128
6.02,0.00168
6.03,0.00119
6.04,0.00137
6.05,0.00145
6.06,0.00103
6.07,0.00155
6.08,0.00154
6.09,0.00116
6.1,0.00147
6.11,0.00114
6.12,0.00135
6.13,0.00181
6.14,0.00117
6.15,0.00126
6.16,0.00143
6.17,0.00112
6.18,0.0017
6.19,0.00148
6.2,0.00112
6.21,0.00146
6.22,0.00121
6.23,0.00142
6.24,0.00167
6.25,0.00114
6.26,0.00131
6.27,0.00158
6.28,0.00114
6.29,0.00155
6.3,0.00136
6.31,0.00113
6.32,0.0016
6.33,0.00128
6.34,0.00128
6.35,0.00161
6.36,0.00121
6.37,0.00145
6.38,0.00161
6.39,0.00099
6.4,0.00153
6.41,0.00144
6.42,0.00125
6.43,0.00152
6.44,0.00117
6.45,0.00131
6.46,0.00175
6.47,0.00118
6.48,0.00131
6.49,0.0015
6.5,0.00112
6.51,0.00163
6.52,0.00152
6.53,0.00128
6.54,0.00153
6.55,0.00108
6.56,0.00119
6.57,0.00168
6.58,0.0012
6.59,0.00132
6.6,0.00155
6.61,0.00128
6.62,0.00158
6.63,0.00134
6.64,0.00118
6.65,0.0018
6.66,0.00125
6.67,0.00115
6.68,0.00149
6.69,0.00122
6.7,0.0014
6.71,0.0015
6.72,0.00111
6.73,0.00158
6.74,0.00148
6.75,0.0012
6.76,0.00175
6.77,0.00126
6.78,0.0013
6.79,0.00158
6.8,0.00125
6.81,0.00139
6.82,0.00136
6.83,0.00094
6.84,0.00158
6.85,0.0017
6.86,0.00119
6.87,0.00151
6.88,0.00117
6.89,0.00145
6.9,0.00186
6.91,0.0012
6.92,0.00133
6.93,0.00147
6.94,0.00118
6.95,0.00151
6.96,0.00136
6.97,0.00108
6.98,0.00165
6.99,0.00121
7,0.00132
7.01,0.00176
7.02,0.00124
7.03,0.0013
7.04,0.00148
7.05,0.00131
7.06,0.00167
7.07,0.00138
7.08,0.00082
7.09,0.0016
7.1,0.00145
7.11,0.00132
7.12,0.00152
7.13,0.00111
7.14,0.0015
7.15,0.00155
7.16,0.00113
7.17,0.00154
7.18,0.00161
7.19,0.00119
7.2,0.00158
7.21,0.00121
7.22,0.0012
7.23,0.00157
7.24,0.00115
7.25,0.00145
7.26,0.00151
7.27,0.00106
7.28,0.0016
7.29,0.00164
7.3,0.00126
7.31,0.00159
7.32,0.00128
7.33,0.00137
7.34,0.00164
7.35,0.00097
7.36,0.00121
7.37,0.0016
7.38,0.0012
7.39,0.00157
7.4,0.00141
7.41,0.00124
7.42,0.00166
7.43,0.00139
7.44,0.00134
7.45,0.0018
7.46,0.00118
7.47,0.00121
7.48,0.00135
7.49,0.00109
7.5,0.00166
7.51,0.00144
7.52,0.00106
7.53,0.00164
7.54,0.00146
7.55,0.00145
7.56,0.00166
7.57,0.00117
7.58,0.00138
7.59,0.00169
7.6,0.00113
7.61,0.00138
7.62,0.00128
7.63,0.00111
7.64,0.00162
7.65,0.00145
7.66,0.00131
7.67,0.00168
7.68,0.00123
7.69,0.00149
7.7,0.00176
7.71,0.00133
7.72,0.0015
7.73,0.00127
7.74,0.00103
7.75,0.00159
7.76,0.00129
7.77,0.00129
7.78,0.00176
7.79,0.00121
7.8,0.00134
7.81,0.00167
7.82,0.00139
7.83,0.00166
7.84,0.00133
7.85,0.0011
7.86,0.0018
7.87,0.00141
7.88,0.00101
7.89,0.00142
7.9,0.00124
7.91,0.0016
7.92,0.00157
7.93,0.00118
7.94,0.00169
7.95,0.00151
7.96,0.00112
7.97,0.00168
7.98,0.00158
7.99,0.00118
8,0.00144
8.01,0.00104
8.02,0.00159
8.03,0.00171
8.04,0.00109
8.05,0.00153
8.06,0.00164
8.07,0.00121
8.08,0.00159
8.09,0.00143
8.1,0.00128
8.11,0.00166
8.12,0.00103
8.13,0.00143
8.14,0.00175
8.15,0.00116
8.16,0.00137
8.17,0.00143
8.18,0.00137
8.19,0.00176
8.2,0.00139
8.21,0.0012
8.22,0.00163
8.23,0.00113
8.24,0.00137
8.25,0.00162
8.26,0.00123
8.27,0.00146
8.28,0.00133
8.29,0.0013
8.3,0.00182
8.31,0.00145
