Time(s),Linear(mm)
15.54,0.00182
15.55,0.00144
15.56,0.00185
15.57,0.00183
15.58,0.00131
15.59,0.00187
15.6,0.00162
15.61,0.00133
15.62,0.00164
15.63,0.00153
15.64,0.00169
15.65,0.0018
15.66,0.00123
15.67,0.00173
15.68,0.00201
15.69,0.00145
15.7,0.00178
15.71,0.0016
15.72,0.00153
15.73,0.00182
15.74,0.00134
15.75,0.00157
15.76,0.00189
15.77,0.00136
15.78,0.00151
15.79,0.0018
15.8,0.00152
15.81,0.00197
15.82,0.00146
15.83,0.00143
15.84,0.00202
15.85,0.00161
15.86,0.00137
15.87,-0.00473
15.88,-0.02236
15.89,-0.05356
15.9,-0.12778
15.91,-0.26364
15.92,-0.48677
15.93,-0.80591
15.94,-1.22657
15.95,-1.73009
15.96,-2.31718
15.97,-2.97623
15.98,-3.65144
15.99,-4.36374
16,-5.06797
16.01,-5.77191
16.02,-6.52268
16.03,-7.34029
16.04,-8.26733
16.05,-9.26353
16.06,-10.25651
16.07,-11.26641
16.08,-12.24552
16.09,-13.2475
16.1,-14.23579
16.11,-15.23445
16.12,-16.21885
16.13,-17.22513
16.14,-18.2062
16.15,-19.21013
16.16,-20.195
16.17,-21.19994
16.18,-22.18441
16.19,-23.19281
16.2,-24.17628
16.21,-25.18362
16.22,-26.16214
16.23,-27.16914
16.24,-28.14619
16.25,-29.15068
16.26,-30.12961
16.27,-31.14065
16.28,-32.1238
16.29,-33.12998
16.3,-34.10257
16.31,-35.12026
16.32,-36.09608
16.33,-37.11338
16.34,-38.08952
16.35,-39.09447
16.36,-40.06891
16.37,-41.07473
16.38,-42.05644
16.39,-43.06811
16.4,-44.04379
16.41,-45.05081
16.42,-46.02678
16.43,-47.03385
16.44,-48.01778
16.45,-49.02013
16.46,-49.99362
16.47,-51.00505
16.48,-51.98321
16.49,-52.98898
16.5,-53.97015
16.51,-54.97604
16.52,-55.95939
16.53,-56.96556
16.54,-57.9515
16.55,-58.9634
16.56,-59.9401
16.57,-60.94961
16.58,-61.93047
16.59,-62.94391
16.6,-63.9315
16.61,-64.93931
16.62,-65.91412
16.63,-66.92953
16.64,-67.91335
16.65,-68.92035
16.66,-69.89267
16.67,-70.90385
16.68,-71.8516
16.69,-72.74312
16.7,-73.52871
16.71,-74.25054
16.72,-74.95434
16.73,-75.65271
16.74,-76.34439
16.75,-77.02517
16.76,-77.64729
16.77,-78.20531
16.78,-78.68567
16.79,-79.07501
16.8,-79.38
16.81,-79.59131
16.82,-79.73123
16.83,-79.82116
16.84,-79.86082
16.85,-79.85505
16.86,-79.85758
16.87,-79.85777
16.88,-79.85582
16.89,-79.85605
16.9,-79.85686
16.91,-79.85936
16.92,-79.8584
16.93,-79.85722
16.94,-79.85397
16.95,-79.85525
16.96,-79.85779
16.97,-79.86031
16.98,-79.85906
16.99,-79.85685
17,-79.85477
17.01,-79.85638
17.02,-79.85823
17.03,-79.85927
17.04,-79.85838
17.05,-79.85722
17.06,-79.85636
17.07,-79.85677
17.08,-79.85679
17.09,-79.85826
17.1,-79.85797
17.11,-79.84464
17.12,-79.8244
17.13,-79.76212
17.14,-79.64005
17.15,-79.44515
17.16,-79.14551
17.17,-78.74904
17.18,-78.2655
17.19,-77.69124
17.2,-77.06332
17.21,-76.37375
17.22,-75.68322
17.23,-74.98897
17.24,-74.27041
17.25,-73.54505
17.26,-72.7319
17.27,-71.8293
17.28,-70.86453
17.29,-69.85239
17.3,-68.8729
17.31,-67.87539
17.32,-66.89003
17.33,-65.88118
17.34,-64.89706
17.35,-63.8897
17.36,-62.90744
17.37,-61.89441
17.38,-60.91219
17.39,-59.89895
17.4,-58.92227
17.41,-57.91257
17.42,-56.92994
17.43,-55.91984
17.44,-54.93849
17.45,-53.92941
17.46,-52.94946
17.47,-51.94191
17.48,-50.96465
17.49,-49.95809
17.5,-48.97894
17.51,-47.9732
17.52,-46.98921
17.53,-45.98783
17.54,-45.01469
17.55,-44.00798
17.56,-43.02636
17.57,-42.02134
17.58,-41.04035
17.59,-40.03988
17.6,-39.05921
17.61,-38.07559
17.62,-37.19856
17.63,-36.38098
17.64,-35.6684
17.65,-34.9662
17.66,-34.26358
17.67,-33.55773
17.68,-32.88562
17.69,-32.24164
17.7,-31.68397
17.71,-31.19703
17.72,-30.7937
17.73,-30.48513
17.74,-30.26268
17.75,-30.10788
17.76,-30.02164
17.77,-29.9728
17.78,-29.97954
17.79,-29.98165
17.8,-29.98526
17.81,-29.98594
17.82,-29.98211
17.83,-29.97912
17.84,-29.97759
17.85,-29.97972
17.86,-29.98313
17.87,-29.98597
17.88,-29.98428
17.89,-29.97952
17.9,-29.97553
17.91,-29.97724
17.92,-29.98234
17.93,-29.98502
17.94,-29.98427
17.95,-29.98057
17.96,-29.97838
17.97,-29.97903
17.98,-29.98019
17.99,-29.98247
18,-29.98363
18.01,-29.98344
18.02,-29.98096
18.03,-29.97916
18.04,-29.98364
18.05,-29.99959
18.06,-30.03828
18.07,-30.12089
18.08,-30.27847
18.09,-30.52579
18.1,-30.86683
18.11,-31.31115
18.12,-31.8349
18.13,-32.45356
18.14,-33.10643
18.15,-33.79374
18.16,-34.49499
18.17,-35.20417
18.18,-35.91244
18.19,-36.68304
18.2,-37.53574
18.21,-38.47236
18.22,-39.47055
18.23,-40.45995
18.24,-41.45951
18.25,-42.44712
18.26,-43.4442
18.27,-44.43124
18.28,-45.42914
18.29,-46.40501
18.3,-47.41282
18.31,-48.401
18.32,-49.4038
18.33,-50.38164
18.34,-51.38558
18.35,-52.36166
18.36,-53.37086
18.37,-54.35232
18.38,-55.36114
18.39,-56.34621
18.4,-57.35386
18.41,-58.33389
18.42,-59.33859
18.43,-60.31849
18.44,-61.33772
18.45,-62.31982
18.46,-63.33292
18.47,-64.31027
18.48,-65.3148
18.49,-66.29876
18.5,-67.31673
18.51,-68.29665
18.52,-69.29718
18.53,-70.2763
18.54,-71.28168
18.55,-72.25988
18.56,-73.26685
18.57,-74.24724
18.58,-75.26127
18.59,-76.22936
18.6,-77.24288
18.61,-78.21995
18.62,-79.22843
18.63,-80.20842
18.64,-81.21912
18.65,-82.19309
18.66,-83.20804
18.67,-84.18494
18.68,-85.19688
18.69,-86.1755
18.7,-87.18194
18.71,-88.16795
18.72,-89.1852
18.73,-90.15649
18.74,-91.16957
18.75,-92.14338
18.76,-93.15696
18.77,-94.13589
18.78,-95.14527
18.79,-96.11765
18.8,-97.13241
18.81,-98.10123
18.82,-99.10846
18.83,-100.0841
18.84,-101.09722
18.85,-102.07527
18.86,-103.07723
18.87,-104.06914
18.88,-105.06487
18.89,-106.05931
18.9,-107.06743
18.91,-108.04277
18.92,-109.05502
18.93,-110.03195
18.94,-111.03771
18.95,-112.01877
18.96,-113.03014
18.97,-114.01209
18.98,-115.0148
18.99,-115.99936
19,-117.00027
19.01,-117.97359
19.02,-118.97081
19.03,-119.95087
19.04,-120.95323
19.05,-121.88482
19.06,-122.76916
19.07,-123.53485
19.08,-124.24135
19.09,-124.94699
19.1,-125.63943
19.11,-126.34215
19.12,-127.00673
19.13,-127.62208
19.14,-128.16583
19.15,-128.63184
19.16,-129.00874
19.17,-129.28726
19.18,-129.49556
19.19,-129.6216
19.2,-129.70236
19.21,-129.7322
19.22,-129.72427
19.23,-129.72258
19.24,-129.72458
19.25,-129.72343
19.26,-129.72676
19.27,-129.72655
19.28,-129.7273
19.29,-129.72513
19.3,-129.7248
19.31,-129.72184
19.32,-129.7258
19.33,-129.72777
19.34,-129.73065
19.35,-129.72714
19.36,-129.72381
19.37,-129.72317
19.38,-129.72556
19.39,-129.72803
19.4,-129.72894
19.41,-129.72601
19.42,-129.72572
19.43,-129.72522
19.44,-129.72539
19.45,-129.72545
19.46,-129.72738
19.47,-129.72565
19.48,-129.71175
19.49,-129.68316
19.5,-129.6123
19.51,-129.47996
19.52,-129.26524
19.53,-128.94466
19.54,-128.53542
19.55,-128.02182
19.56,-127.44366
19.57,-126.80741
19.58,-126.11127
19.59,-125.41866
19.6,-124.7135
19.61,-123.99546
19.62,-123.27134
19.63,-122.44421
19.64,-121.52448
19.65,-120.56372
19.66,-119.55045
19.67,-118.576
19.68,-117.57448
19.69,-116.60137
19.7,-115.5994
19.71,-114.62248
19.72,-113.62142
19.73,-112.63108
19.74,-111.62204
19.75,-110.64917
19.76,-109.63202
19.77,-108.66718
19.78,-107.64949
19.79,-106.67813
19.8,-105.65958
19.81,-104.68523
19.82,-103.66898
19.83,-102.69605
19.84,-101.67792
19.85,-100.70972
19.86,-99.69473
19.87,-98.72359
19.88,-97.70855
19.89,-96.736
19.9,-95.72368
19.91,-94.76022
19.92,-93.74245
19.93,-92.76802
19.94,-91.75786
19.95,-90.77813
19.96,-89.76731
19.97,-88.79547
19.98,-87.81337
19.99,-86.95123
20,-86.15122
20.01,-85.44618
20.02,-84.73605
20.03,-84.02919
20.04,-83.34477
20.05,-82.66352
20.06,-82.04579
20.07,-81.49259
20.08,-81.01875
20.09,-80.64127
20.1,-80.33574
20.11,-80.14235
20.12,-79.99371
20.13,-79.91957
20.14,-79.87373
20.15,-79.8832
20.16,-79.88302
20.17,-79.88744
20.18,-79.8891
20.19,-79.8857
20.2,-79.88219
20.21,-79.8798
20.22,-79.882
20.23,-79.88718
20.24,-79.88855
20.25,-79.88873
20.26,-79.88242
20.27,-79.87943
20.28,-79.88139
20.29,-79.88542
20.3,-79.8879
20.31,-79.88777
20.32,-79.88389
20.33,-79.88251
20.34,-79.88317
20.35,-79.88334
20.36,-79.88616
20.37,-79.88639
20.38,-79.88709
20.39,-79.88518
20.4,-79.88472
20.41,-79.89863
20.42,-79.92118
20.43,-79.98588
20.44,-80.11128
20.45,-80.31407
20.46,-80.61481
20.47,-81.01572
20.48,-81.50132
20.49,-82.0796
20.5,-82.72906
20.51,-83.40426
20.52,-84.1058
20.53,-84.80543
20.54,-85.51589
20.55,-86.24667
20.56,-87.06542
20.57,-87.969
20.58,-88.9592
20.59,-89.94688
20.6,-90.95389
20.61,-91.94109
20.62,-92.94028
20.63,-93.92137
20.64,-94.92688
20.65,-95.90548
20.66,-96.91242
20.67,-97.89005
20.68,-98.89146
20.69,-99.87251
20.7,-100.8795
20.71,-101.85781
20.72,-102.86252
20.73,-103.85605
20.74,-104.84831
20.75,-105.84444
20.76,-106.84882
20.77,-107.83228
20.78,-108.83036
20.79,-109.8198
20.8,-110.82021
20.81,-111.81096
20.82,-112.81354
20.83,-113.80702
20.84,-114.79363
20.85,-115.78272
20.86,-116.7833
20.87,-117.76604
20.88,-118.75859
20.89,-119.73824
20.9,-120.7312
20.91,-121.71285
20.92,-122.71322
20.93,-123.70444
20.94,-124.69362
20.95,-125.69485
20.96,-126.68127
20.97,-127.68377
20.98,-128.67103
20.99,-129.67562
21,-130.66546
21.01,-131.66669
21.02,-132.65946
21.03,-133.65804
21.04,-134.65668
21.05,-135.65494
21.06,-136.64802
21.07,-137.64168
21.08,-138.62411
21.09,-139.61953
21.1,-140.60886
21.11,-141.60049
21.12,-142.5879
21.13,-143.59405
21.14,-144.57855
21.15,-145.57517
21.16,-146.56886
21.17,-147.56762
21.18,-148.56871
21.19,-149.55907
21.2,-150.55505
21.21,-151.55072
21.22,-152.54606
21.23,-153.54744
21.24,-154.54005
21.25,-155.53829
21.26,-156.52982
21.27,-157.52234
21.28,-158.50909
21.29,-159.50131
21.3,-160.48485
21.31,-161.47613
21.32,-162.46433
21.33,-163.45849
21.34,-164.43961
21.35,-165.44209
21.36,-166.41985
21.37,-167.42301
21.38,-168.40316
21.39,-169.40503
21.4,-170.38464
21.41,-171.36598
21.42,-172.26166
21.43,-173.09038
21.44,-173.79327
21.45,-174.51626
21.46,-175.20599
21.47,-175.91249
21.48,-176.58502
21.49,-177.23442
21.5,-177.79572
21.51,-178.304
21.52,-178.70385
21.53,-179.03677
21.54,-179.25872
21.55,-179.41928
21.56,-179.51262
21.57,-179.57195
21.58,-179.5667
21.59,-179.57235
21.6,-179.56546
21.61,-179.56766
21.62,-179.56812
21.63,-179.57052
21.64,-179.5713
21.65,-179.57185
21.66,-179.56854
21.67,-179.56594
21.68,-179.56649
21.69,-179.56979
21.7,-179.57246
21.71,-179.57245
21.72,-179.56847
21.73,-179.56631
21.74,-179.5676
21.75,-179.5691
21.76,-179.57192
21.77,-179.57076
21.78,-179.5694
21.79,-179.56828
21.8,-179.56847
21.81,-179.56757
21.82,-179.57013
21.83,-179.56913
21.84,-179.55926
21.85,-179.54424
21.86,-179.49211
21.87,-179.38822
21.88,-179.21492
21.89,-178.94326
21.9,-178.5753
21.91,-178.10794
21.92,-177.55752
21.93,-176.94764
21.94,-176.26454
21.95,-175.57667
21.96,-174.87615
21.97,-174.16166
21.98,-173.44675
21.99,-172.67072
22,-171.78516
22.01,-170.83234
22.02,-169.83323
22.03,-168.84528
22.04,-167.84621
22.05,-166.86978
22.06,-165.87218
22.07,-164.89037
22.08,-163.89181
22.09,-162.91243
22.1,-161.91828
22.11,-160.93472
22.12,-159.94238
22.13,-158.95352
22.14,-157.96892
22.15,-156.98338
22.16,-155.98609
22.17,-154.9959
22.18,-153.99807
22.19,-153.00324
22.2,-151.99684
22.21,-151.01204
22.22,-150.0149
22.23,-149.02457
22.24,-148.02189
22.25,-147.0294
22.26,-146.02722
22.27,-145.03731
22.28,-144.04213
22.29,-143.05124
22.3,-142.04323
22.31,-141.06179
22.32,-140.05959
22.33,-139.08109
22.34,-138.08366
22.35,-137.18314
22.36,-136.36171
22.37,-135.61664
22.38,-134.92391
22.39,-134.20839
22.4,-133.5058
22.41,-132.81901
22.42,-132.16486
22.43,-131.58423
22.44,-131.0807
22.45,-130.65263
22.46,-130.32461
22.47,-130.07694
22.48,-129.90738
22.49,-129.80206
22.5,-129.74567
22.51,-129.7432
22.52,-129.74342
22.53,-129.74879
22.54,-129.75091
22.55,-129.74903
22.56,-129.74412
22.57,-129.74349
22.58,-129.741
22.59,-129.74869
22.6,-129.74977
22.61,-129.7509
22.62,-129.74501
22.63,-129.74245
22.64,-129.74058
22.65,-129.7468
22.66,-129.74739
22.67,-129.74955
22.68,-129.74657
22.69,-129.74441
22.7,-129.74412
22.71,-129.74491
22.72,-129.74585
22.73,-129.74847
22.74,-129.74798
22.75,-129.74767
22.76,-129.74513
22.77,-129.75383
22.78,-129.76631
22.79,-129.81405
22.8,-129.90618
22.81,-130.08276
22.82,-130.34788
22.83,-130.70356
22.84,-131.16154
22.85,-131.69776
22.86,-132.32993
22.87,-132.99204
22.88,-133.68899
22.89,-134.39312
22.9,-135.10127
22.91,-135.81088
22.92,-136.59899
22.93,-137.45905
22.94,-138.40738
22.95,-139.40715
22.96,-140.39791
22.97,-141.39549
22.98,-142.3744
22.99,-143.38047
23,-144.36548
23.01,-145.36453
23.02,-146.35271
23.03,-147.36037
23.04,-148.34943
23.05,-149.35417
23.06,-150.33792
23.07,-151.34229
23.08,-152.32768
23.09,-153.33632
23.1,-154.32156
23.11,-155.33224
23.12,-156.30881
23.13,-157.31788
23.14,-158.29325
23.15,-159.28709
23.16,-160.26843
23.17,-161.27029
23.18,-162.24664
23.19,-163.25407
23.2,-164.21605
23.21,-165.22808
23.22,-166.20165
23.23,-167.21596
23.24,-168.18652
23.25,-169.1926
23.26,-170.16621
23.27,-171.17404
23.28,-172.14391
23.29,-173.16165
23.3,-174.12137
23.31,-175.14522
23.32,-176.11657
23.33,-177.1268
23.34,-178.09853
23.35,-179.10447
23.36,-180.07757
23.37,-181.08663
23.38,-182.06416
23.39,-183.06393
23.4,-184.05395
23.41,-185.05605
23.42,-186.02792
23.43,-187.03589
23.44,-188.01651
23.45,-189.03243
23.46,-190.00741
23.47,-191.01769
23.48,-192.0013
23.49,-193.01612
23.5,-193.99413
23.51,-195.00674
23.52,-195.98881
23.53,-196.99973
23.54,-197.97777
23.55,-198.99351
23.56,-199.9882
23.57,-201.00491
23.58,-201.98956
23.59,-203.00084
23.6,-203.98419
23.61,-205.00358
23.62,-205.98344
23.63,-206.94516
23.64,-207.77496
23.65,-208.54912
23.66,-209.25214
23.67,-209.95882
23.68,-210.66634
23.69,-211.35732
23.7,-212.02549
23.71,-212.63603
23.72,-213.16023
23.73,-213.61326
23.74,-213.95704
23.75,-214.23282
23.76,-214.41084
23.77,-214.53989
23.78,-214.60015
23.79,-214.6188
23.8,-214.61466
23.81,-214.61145
23.82,-214.61106
23.83,-214.61224
23.84,-214.61435
23.85,-214.61829
23.86,-214.61789
23.87,-214.615
23.88,-214.60958
23.89,-214.61188
23.9,-214.61256
23.91,-214.61923
23.92,-214.61846
23.93,-214.61547
23.94,-214.61236
23.95,-214.61203
23.96,-214.61245
23.97,-214.61698
23.98,-214.61648
23.99,-214.61723
24,-214.6153
24.01,-214.61249
24.02,-214.61232
24.03,-214.61374
24.04,-214.61545
24.05,-214.61261
24.06,-214.59851
24.07,-214.56595
24.08,-214.48898
24.09,-214.33802
24.1,-214.10314
24.11,-213.77127
24.12,-213.34029
24.13,-212.80009
24.14,-212.21004
24.15,-211.54087
24.16,-210.85562
24.17,-210.14354
24.18,-209.4397
24.19,-208.72436
24.2,-207.95936
24.21,-207.12093
24.22,-206.17821
24.23,-205.18287
24.24,-204.16959
24.25,-203.1683
24.26,-202.17526
24.27,-201.1772
24.28,-200.17309
24.29,-199.16566
24.3,-198.16351
24.31,-197.16867
24.32,-196.17007
24.33,-195.16954
24.34,-194.17481
24.35,-193.17191
24.36,-192.18926
24.37,-191.17789
24.38,-190.19295
24.39,-189.18258
24.4,-188.20138
24.41,-187.18961
24.42,-186.21896
24.43,-185.21154
24.44,-184.23788
24.45,-183.22889
24.46,-182.23771
24.47,-181.23941
24.48,-180.26287
24.49,-179.261
24.5,-178.28255
24.51,-177.27568
24.52,-176.29563
24.53,-175.29199
24.54,-174.31151
24.55,-173.30231
24.56,-172.33089
24.57,-171.31915
24.58,-170.34474
24.59,-169.34298
24.6,-168.35789
24.61,-167.36384
24.62,-166.38371
24.63,-165.37754
24.64,-164.40038
24.65,-163.39862
24.66,-162.42841
24.67,-161.42108
24.68,-160.45235
24.69,-159.44623
24.7,-158.47589
24.71,-157.4719
24.72,-156.49357
24.73,-155.48444
24.74,-154.50745
24.75,-153.49858
24.76,-152.51227
24.77,-151.50002
24.78,-150.5241
24.79,-149.51072
24.8,-148.53431
24.81,-147.52791
24.82,-146.54145
24.83,-145.53034
24.84,-144.5509
24.85,-143.53848
24.86,-142.56463
24.87,-141.54792
24.88,-140.57802
24.89,-139.56543
24.9,-138.59171
24.91,-137.58212
24.92,-136.61369
24.93,-135.60314
24.94,-134.62048
24.95,-133.6044
24.96,-132.6189
24.97,-131.60536
24.98,-130.63181
24.99,-129.61113
25,-128.63265
25.01,-127.61399
25.02,-126.64413
25.03,-125.63048
25.04,-124.65452
25.05,-123.63428
25.06,-122.66998
25.07,-121.65228
25.08,-120.69264
25.09,-119.68353
25.1,-118.70894
25.11,-117.70638
25.12,-116.73458
25.13,-115.72646
25.14,-114.75883
25.15,-113.74968
25.16,-112.76641
25.17,-111.75078
25.18,-110.78092
25.19,-109.76145
25.2,-108.79484
25.21,-107.77385
25.22,-106.80389
25.23,-105.78327
25.24,-104.81407
25.25,-103.80006
25.26,-102.82329
25.27,-101.8017
25.28,-100.84021
25.29,-99.81616
25.3,-98.8525
25.31,-97.83736
25.32,-96.86366
25.33,-95.85001
25.34,-94.88051
25.35,-93.8632
25.36,-92.89558
25.37,-91.88119
25.38,-90.90651
25.39,-89.88733
25.4,-88.91765
25.41,-87.90239
25.42,-86.92778
25.43,-85.91681
25.44,-84.93871
25.45,-83.92226
25.46,-82.94568
25.47,-81.9345
25.48,-80.96016
25.49,-79.94687
25.5,-78.97442
25.51,-77.95874
25.52,-76.98368
25.53,-75.96624
25.54,-74.99802
25.55,-73.98296
25.56,-73.00699
25.57,-71.99583
25.58,-71.01619
25.59,-70.00899
25.6,-69.03131
25.61,-68.02599
25.62,-67.04793
25.63,-66.02956
25.64,-65.05379
25.65,-64.0384
25.66,-63.05661
25.67,-62.04386
25.68,-61.06576
25.69,-60.04889
25.7,-59.07333
25.71,-58.05506
25.72,-57.07883
25.73,-56.0686
25.74,-55.09006
25.75,-54.07623
25.76,-53.09989
25.77,-52.09156
25.78,-51.11384
25.79,-50.10336
25.8,-49.12458
25.81,-48.12495
25.82,-47.14088
25.83,-46.13592
25.84,-45.1611
25.85,-44.15614
25.86,-43.17793
25.87,-42.17291
25.88,-41.19017
25.89,-40.18464
25.9,-39.20523
25.91,-38.19615
25.92,-37.22128
25.93,-36.20842
25.94,-35.23536
25.95,-34.21946
25.96,-33.24009
25.97,-32.23699
25.98,-31.25105
25.99,-30.24084
26,-29.26816
26.01,-28.25729
26.02,-27.27911
26.03,-26.26922
26.04,-25.29103
26.05,-24.28473
26.06,-23.30689
26.07,-22.29969
26.08,-21.3218
26.09,-20.31437
26.1,-19.33245
26.11,-18.32584
26.12,-17.3452
26.13,-16.34168
26.14,-15.3583
26.15,-14.35518
26.16,-13.36926
26.17,-12.35778
26.18,-11.37426
26.19,-10.37273
26.2,-9.38729
26.21,-8.39717
26.22,-7.48143
26.23,-6.65239
26.24,-5.91034
26.25,-5.20852
26.26,-4.50312
26.27,-3.80491
26.28,-3.1238
26.29,-2.46464
26.3,-1.87398
26.31,-1.36892
26.32,-0.94357
26.33,-0.60886
26.34,-0.36496
26.35,-0.19112
26.36,-0.09629
26.37,-0.06421
26.38,-0.12356
26.39,-0.10877
26.4,-0.11631
26.41,-0.12006
26.42,-0.11527
26.43,-0.11487
26.44,-0.11234
26.45,-0.11123
26.46,-0.11408
26.47,-0.11987
26.48,-0.12029
26.49,-0.11502
26.5,-0.11051
26.51,-0.10918
26.52,-0.11589
26.53,-0.11741
26.54,-0.11887
26.55,-0.11453
26.56,-0.11363
26.57,-0.11223
26.58,-0.11256
26.59,-0.11496
26.6,-0.11704
26.61,-0.11828
26.62,-0.1151
26.63,-0.11256
26.64,-0.11224
26.65,-0.11397
26.66,-0.11579
26.67,-0.1169
26.68,-0.11546
26.69,-0.11563
26.7,-0.11311
26.71,-0.11164
26.72,-0.11315
26.73,-0.11571
26.74,-0.11829
26.75,-0.11679
26.76,-0.11282
26.77,-0.11171
26.78,-0.11263
26.79,-0.11578
26.8,-0.11724
26.81,-0.11671
26.82,-0.11433
26.83,-0.1134
26.84,-0.11207
26.85,-0.11346
26.86,-0.11577
26.87,-0.11684
26.88,-0.11596
26.89,-0.11374
26.9,-0.11186
26.91,-0.11361
26.92,-0.11507
26.93,-0.11571
26.94,-0.11635
26.95,-0.115
26.96,-0.11414
26.97,-0.11334
26.98,-0.11272
26.99,-0.11466
27,-0.11643
27.01,-0.11599
27.02,-0.11499
27.03,-0.11271
27.04,-0.11227
27.05,-0.11423
27.06,-0.11551
27.07,-0.11634
27.08,-0.11584
27.09,-0.11367
27.1,-0.11306
27.11,-0.11313
27.12,-0.11439
27.13,-0.11649
27.14,-0.1162
27.15,-0.11418
27.16,-0.11327
27.17,-0.11284
27.18,-0.1142
27.19,-0.11524
27.2,-0.11508
27.21,-0.11514
27.22,-0.1147
27.23,-0.11331
27.24,-0.11346
27.25,-0.11406
27.26,-0.11516
27.27,-0.11624
27.28,-0.11496
27.29,-0.11387
27.3,-0.11343
27.31,-0.11316
27.32,-0.11446
27.33,-0.11554
27.34,-0.11524
27.35,-0.11488
27.36,-0.11344
27.37,-0.11275
27.38,-0.11413
27.39,-0.11508
27.4,-0.1158
27.41,-0.11543
27.42,-0.1136
27.43,-0.11329
27.44,-0.11386
27.45,-0.11448
27.46,-0.1153
27.47,-0.11499
27.48,-0.1141
27.49,-0.11431
27.5,-0.11346
27.51,-0.11356
27.52,-0.11465
27.53,-0.11508
27.54,-0.11538
27.55,-0.11454
27.56,-0.11324
27.57,-0.11379
27.58,-0.11425
27.59,-0.11449
27.6,-0.1154
27.61,-0.11482
27.62,-0.11408
27.63,-0.11366
27.64,-0.11314
27.65,-0.1145
27.66,-0.11547
27.67,-0.11476
27.68,-0.11441
27.69,-0.11373
27.7,-0.11346
27.71,-0.11431
27.72,-0.11452
27.73,-0.11487
27.74,-0.11523
27.75,-0.11396
27.76,-0.11361
27.77,-0.11394
27.78,-0.11411
27.79,-0.11504
27.8,-0.11484
27.81,-0.11411
27.82,-0.11427
27.83,-0.11364
27.84,-0.11374
27.85,-0.11458
27.86,-0.11459
27.87,-0.11487
27.88,-0.11471
27.89,-0.11354
27.9,-0.11385
27.91,-0.11413
27.92,-0.11445
27.93,-0.11523
27.94,-0.11454
27.95,-0.11383
27.96,-0.11387
27.97,-0.11366
27.98,-0.11431
27.99,-0.11488
28,-0.11434
28.01,-0.11461
28.02,-0.11411
28.03,-0.11348
28.04,-0.1142
28.05,-0.11447
28.06,-0.1148
28.07,-0.11493
28.08,-0.11386
28.09,-0.11383
28.1,-0.11417
28.11,-0.11393
28.12,-0.11452
28.13,-0.11471
28.14,-0.11419
28.15,-0.11439
28.16,-0.1137
28.17,-0.11378
28.18,-0.11456
28.19,-0.11437
28.2,-0.11455
28.21,-0.11462
28.22,-0.11373
28.23,-0.11395
28.24,-0.11416
28.25,-0.11417
28.26,-0.11493
28.27,-0.11434
28.28,-0.1139
28.29,-0.11413
28.3,-0.1137
28.31,-0.11414
28.32,-0.1147
28.33,-0.11427
28.34,-0.11439
28.35,-0.11415
28.36,-0.1137
28.37,-0.11438
28.38,-0.11423
28.39,-0.11422
28.4,-0.11476
28.41,-0.11408
28.42,-0.11403
28.43,-0.11408
28.44,-0.11369
28.45,-0.11426
28.46,-0.11462
28.47,-0.11417
28.48,-0.11442
28.49,-0.11373
28.5,-0.11369
28.51,-0.11458
28.52,-0.11437
28.53,-0.11445
28.54,-0.11434
28.55,-0.11373
28.56,-0.11402
28.57,-0.11425
28.58,-0.11399
28.59,-0.11468
28.6,-0.11415
28.61,-0.11386
28.62,-0.11435
28.63,-0.11381
28.64,-0.11404
28.65,-0.1144
28.66,-0.11415
28.67,-0.1145
28.68,-0.11426
28.69,-0.11366
28.7,-0.11424
28.71,-0.11417
28.72,-0.11412
28.73,-0.11462
28.74,-0.11395
28.75,-0.11409
28.76,-0.11416
28.77,-0.11362
28.78,-0.11425
28.79,-0.11448
28.8,-0.11406
28.81,-0.1143
28.82,-0.11386
28.83,-0.11379
28.84,-0.11454
28.85,-0.11412
28.86,-0.1143
28.87,-0.11443
28.88,-0.1136
28.89,-0.11408
28.9,-0.11426
28.91,-0.11399
28.92,-0.11429
28.93,-0.11408
28.94,-0.11401
28.95,-0.11443
28.96,-0.11364
28.97,-0.1139
28.98,-0.11456
28.99,-0.11407
29,-0.11425
29.01,-0.11406
29.02,-0.11381
29.03,-0.11432
29.04,-0.11396
29.05,-0.11392
29.06,-0.11469
29.07,-0.11412
29.08,-0.11379
29.09,-0.114
29.1,-0.11374
29.11,-0.11446
29.12,-0.11438
29.13,-0.11378
29.14,-0.11421
29.15,-0.11393
29.16,-0.11379
29.17,-0.11444
29.18,-0.11413
29.19,-0.11422
29.2,-0.11423
29.21,-0.11358
29.22,-0.11416
29.23,-0.11422
29.24,-0.11376
29.25,-0.11423
29.26,-0.11415
29.27,-0.11398
29.28,-0.11424
29.29,-0.11365
29.3,-0.11405
29.31,-0.11456
29.32,-0.11389
29.33,-0.11417
29.34,-0.11419
29.35,-0.11381
29.36,-0.11421
29.37,-0.1139
29.38,-0.1139
29.39,-0.1146
29.4,-0.11393
29.41,-0.11379
29.42,-0.11414
29.43,-0.11385
29.44,-0.11435
29.45,-0.11416
29.46,-0.11377
29.47,-0.11424
29.48,-0.11398
29.49,-0.11385
29.5,-0.11444
29.51,-0.114
29.52,-0.11414
29.53,-0.11425
29.54,-0.11378
29.55,-0.11422
29.56,-0.11411
29.57,-0.11371
29.58,-0.1143
29.59,-0.11418
