timestamp, load cell 1, load cell 2, gyro_1_x, gyro_1_y, gyro_1_z, gyro_2_x, gyro_2_y, gyro_2_z, imu_1_X, imu_1_Y, imu_1_Z, imu_2_X, imu_2_Y, imu_2_Z, encoder count
30213,0.001249656927857,7.00245701182972,0.077375634150072,-0.013108640401201,-0.024885712530125,0.014287821440534,0.037092731588266,0.015064619142901,-13.2272727272727,-1.26633522727273,16408.5174005682,-3.98180597478693,8.29438920454546,16361.9458451705,0
,,,,,,,,,,,,,,,
30244,0.001422023400664,6.8386568589644,0.078069215471094,-0.011027896438133,-0.026966456577859,0.012207077477466,0.039173475720666,0.016451781869612,-12.4090909090909,-1.17542613636364,16406.1537642045,-4.16362415660511,8.56711647727273,16363.4912997159,0
,,,,,,,,,,,,,,,
30284,0.001594389873472,6.67485670609908,0.07945637811314,-0.014495803212578,-0.027660037898882,0.010819915004752,0.038479894399643,0.014371037821878,-11.5909090909091,-1.08451704545455,16405.3355823864,-3.16362415660511,7.20348011363636,16362.400390625,0
,,,,,,,,,,,,,,,
30314,0.00176675634628,6.55200659145008,0.083617866039276,-0.017963709817691,-0.026966456577859,0.009432752362706,0.035011987625198,0.009515968828716,-10.5909090909091,-1.81178977272727,16403.3355823864,-2.79998779296875,8.11257102272727,16361.2185724432,0
,,,,,,,,,,,,,,,
30346,0.00198221443729,6.42915647680109,0.080149959434163,-0.017270128496669,-0.02349854988808,0.008045589720661,0.032931243492798,0.008128806102005,-9.95454545454546,-1.72088068181818,16403.69921875,-1.98180597478693,8.11257102272727,16359.3094815341,0
,,,,,,,,,,,,,,,
30376,0.002154580910097,6.3063063621521,0.076682052829049,-0.017963709817691,-0.024885712530125,0.006658427078616,0.029463336718353,0.00951596874405,-9.77272727272727,-1.08451704545455,16403.6083096591,-0.527260520241477,8.74893465909091,16360.1276633523,0
,,,,,,,,,,,,,,,
30406,0.002326947382905,6.14250620928678,0.073214146223935,-0.018657291138714,-0.024192131209103,0.008045589720661,0.028076174118641,0.006741643544625,-9.13636363636364,-1.44815340909091,16403.7901278409,0.381830388849432,9.65802556818182,16361.4912997159,0
,,,,,,,,,,,,,,,
30436,0.002499313855713,6.10155617107045,0.073907727544958,-0.02004445378076,-0.027660037898882,0.008045589720661,0.026689011518928,0.005354480987245,-9.04545454545455,-1.26633522727273,16407.0628551136,0.745466752485795,9.83984375,16363.2185724432,0
,,,,,,,,,,,,,,,
30466,0.002671680328521,6.06060613285412,0.07182698358189,-0.02004445378076,-0.029047200540927,0.005964845757593,0.031544080596756,0.001192992976443,-7.40909090909091,-0.993607954545455,16405.1537642045,1.47273947975852,10.6580255681818,16362.9458451705,0
,,,,,,,,,,,,,,,
30506,0.002844046801329,5.97870605642145,0.07182698358189,-0.018657291138714,-0.027660037898882,-0.000970967283303,0.032931243238801,0.004660899666223,-5.5,-0.811789772727273,16406.3355823864,0.381830388849432,11.2034801136364,16362.6731178977,0
,,,,,,,,,,,,,,,
30536,0.003016413274136,5.89680597998879,0.068359076976776,-0.017963709817691,-0.024192131293768,-0.002358129925349,0.032237661917779,0.003967318260534,-4.31818181818182,-2.99360795454545,16403.9720348011,0.290921297940341,12.6580255681818,16366.0367542614,0
,,,,,,,,,,,,,,,
30550,0.003188779746944,5.85585594177246,0.067665495655753,-0.0151893845336,-0.022804968651723,-0.004438873888417,0.028076174330305,0.006048062223602,-4.04545454545455,-4.08451704545455,16400.1539417614,0.290921297940341,13.4762073863636,16366.6731178977,0
,,,,,,,,,,,,,,,
30580,0.003231871365146,5.81490590355613,0.065584751692685,-0.017963709987023,-0.024885712614791,-0.003745292567394,0.029463336972351,0.00535448090258,-4.04545454545455,-4.62997159090909,16400.8812144886,1.29092129794034,12.4762073863636,16365.8549360795,0
,,,,,,,,,,,,,,,
30620,0.00331805460155,5.7739558653398,0.065584751692685,-0.017963709987023,-0.024885712614791,-0.003051711246371,0.032237662425773,0.001886574382132,-4.77272727272727,-5.08451704545455,16400.1539417614,1.10910311612216,12.5671164772727,16367.400390625,0
,,,,,,,,,,,,,,,
30651,0.003404237837954,5.69205578890714,0.063504007729617,-0.017270128666,-0.023498549972746,-0.00027738596228,0.032237662425773,-0.002274913459339,-5.95454545454545,-5.08451704545455,16400.1539417614,1.56364857066761,12.4762073863636,16367.9458451705,0
,,,,,,,,,,,,,,,
30681,0.003447329456156,5.61015571247448,0.068359076976776,-0.017963709987023,-0.027660037983548,0.001109776679765,0.031544081147083,-0.002274913459339,-6.22727272727273,-4.5390625,16398.3357599432,1.01819402521307,13.6580255681818,16368.5822088068,0
,,,,,,,,,,,,,,,
30712,0.003576604310762,5.52825563604181,0.075988471508026,-0.016576547344977,-0.02835361930457,0.004577683115547,0.032237662468106,0.001886574466797,-6.22727272727273,-3.17542613636364,16397.6993963068,0.20001220703125,13.6580255681818,16367.2185724432,0
,,,,,,,,,,,,,,,
30763,0.003705879165368,5.48730559782548,0.075988471508026,-0.013108640739864,-0.031821525909684,0.003190520473502,0.034318406388841,0.006741643713957,-6.40909090909091,-4.26633522727273,16399.9721235795,0.109103116122159,12.9307528409091,16366.400390625,0
,,,,,,,,,,,,,,,
30793,0.003835154019974,5.44635555960915,0.078069215471094,-0.013108640739864,-0.031127944588661,0.003884101794525,0.032931243704463,0.012290294282138,-5.86363636363636,-5.08451704545455,16399.6993963068,-0.254533247514204,13.2034801136364,16366.1276633523,0
,,,,,,,,,,,,,,,
